Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Settings Name,Settings Val
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Model Resolution (A),10.0
500.0,0.0,-2.7421675928,13.02093117,0.1,2.8255733788191,0.0,Evaporation Rate (A/sec),1.0
500.0,200.0,-4.3533563589,23.7466759675,0.2,5.63999551039369,0.0,Evaporation Time (sec),100.0
1000.0,200.0,-3.9707644156,38.5442346336,0.3,8.43215915635761,0.0,Grid space (A),2.5
1000.0,0.0,1.1972038995,57.1862252504,0.4,11.1910449224185,0.0,Raycast Length (A),5000.0
1500.0,0.0,8.2212063494,66.9322381216,0.5,13.9057647468726,0.0,Model Limit (Pts),10000.0
,,15.2773298264,76.8988591331,0.6,16.5656048708105,0.0,Average out divets,2.0
,,18.8209150807,76.8988591307,0.7,19.1600681204283,0.0,Average out peaks,2.0
,,30.187252891,76.8988591307,0.8,21.6789153345772,0.0,Preserve corners,0.0
,,40.187252891,76.8988591307,0.9,24.1122057740548,0.0,Enforce Grid Space,2.0
,,50.187252891,76.8988591307,1.0,26.450336353161305,0.0,Enforce Model Limit,2.0
,,60.187252891,76.8988591307,1.1,28.684079538691005,0.0,GPU 0 Intersection,1e-16
,,70.187252891,76.8988591307,1.2,30.804619766790996,0.0,GPU 0 Grid,1e-16
,,80.187252891,76.8988591307,1.3,32.8035882339635,0.0,GPU 0 Model,1e-16
,,90.187252891,76.8988591307,1.4,34.6730959249105,0.0,GPU 0 tArea,1e-10
,,100.187252891,76.8988591307,1.5,36.4057647468726,0.0,GPU 0 Merge,1e-16
,,110.187252891,76.8988591307,1.6,37.99475664759071,0.0,GPU D Intersection,10.0
,,120.187252891,76.8988591307,1.7,39.4338006019739,0.0,GPU D Grid,10.0
,,130.187252891,76.8988591307,1.8,40.7172173609709,0.0,GPU D Model,10.0
,,140.187252891,76.8988591307,1.9,41.8399418649713,0.0,GPU D Merge,10.0
,,150.187252891,76.8988591307,2.0,42.7975432332819,0.0,Directional Dependence,0.0
,,160.187252891,76.8988591307,2.1,43.5862422507884,0.0,Growth Type,1.0
,,170.187252891,76.8988591307,2.2,44.202926282791,0.0,,
,,180.187252891,76.8988591307,2.3,44.6451615591515,0.0,,
,,190.187252891,76.8988591307,2.4,44.9112027792722,0.0,,
,,200.187252891,76.8988591307,2.5,45.0,0.0,,
,,210.187252891,76.8988591307,2.6,44.9112027792722,0.0,,
,,220.187252891,76.8988591307,2.7,44.6451615591515,0.0,,
,,230.187252891,76.8988591307,2.8,44.202926282791,0.0,,
,,240.187252891,76.8988591307,2.9,43.5862422507884,0.0,,
,,250.187252891,76.8988591307,3.0,42.7975432332819,0.0,,
,,260.187252891,76.8988591307,3.1,41.8399418649713,0.0,,
,,270.187252891,76.8988591307,3.2,40.7172173609709,0.0,,
,,280.187252891,76.8988591307,3.3,39.4338006019738,0.0,,
,,289.2687160312,76.8988591307,3.4,37.99475664759071,0.0,,
,,293.9450648416,76.8721929289,3.5,36.4057647468726,0.0,,
,,298.2571790971,75.4715747715,3.6,34.6730959249105,0.0,,
,,305.1045898741,72.0259568045,3.7,32.8035882339635,0.0,,
,,312.9031087858,69.7477383686,3.8,30.804619766790996,0.0,,
,,321.0976375246,68.1493104987,3.9,28.684079538691005,0.0,,
,,329.0589691292,66.5595988015,4.0,26.450336353161305,0.0,,
,,337.317059942,65.041841276,4.1,24.1122057740548,0.0,,
,,345.6650652989,63.6212741304,4.2,21.6789153345772,0.0,,
,,353.9733505532,62.170223754,4.3,19.1600681204283,0.0,,
,,362.5381415523,60.647940545,4.4,16.5656048708105,0.0,,
,,371.153469828,59.2361008891,4.5,13.9057647468726,0.0,,
,,379.6849648071,57.8133901625,4.6,11.1910449224184,0.0,,
,,388.3731812826,56.1501345738,4.7,8.4321591563576,0.0,,
,,397.3030316507,54.5083478673,4.8,5.63999551039368,0.0,,
,,406.3213610828,52.9161708935,4.9,2.82557337881909,0.0,,
,,415.3357047457,51.2004678914,5.0,0.0,0.0,,
,,424.5033462034,49.341509425,5.1,-2.82557337881914,0.0,,
,,433.8215727186,47.4361994324,5.2,-5.6399955103937,0.0,,
,,443.3613188648,45.2890251835,5.3,-8.43215915635762,0.0,,
,,453.1755762128,43.2925142108,5.4,-11.1910449224185,0.0,,
,,463.1877383388,40.4415555677,5.5,-13.9057647468726,0.0,,
,,472.9576230968,37.9080665075,5.6,-16.5656048708105,0.0,,
,,488.6833331658,33.9655194986,5.7,-19.1600681204283,0.0,,
,,488.6833331698,45.2374236372,5.8,-21.6789153345772,0.0,,
,,488.6833331697,47.7351167012,5.9,-24.1122057740549,0.0,,
,,488.6833331696,50.2328097653,6.0,-26.450336353161305,0.0,,
,,488.6833331696,59.9148245667,6.1,-28.6840795386911,0.0,,
,,488.6833331696,69.9148245667,6.2,-30.804619766790996,0.0,,
,,488.6833331696,79.9148245667,6.3,-32.8035882339635,0.0,,
,,488.6833331696,89.9148245667,6.4,-34.6730959249105,0.0,,
,,488.6833331696,99.9148245667,6.5,-36.4057647468726,0.0,,
,,488.6833331696,109.9148245667,6.6,-37.99475664759071,0.0,,
,,488.6833331696,119.9148245667,6.7,-39.4338006019739,0.0,,
,,488.6833331696,129.9148245667,6.8,-40.7172173609709,0.0,,
,,488.6833331696,139.9148245667,6.9,-41.8399418649713,0.0,,
,,488.6833331696,149.9148245667,7.0,-42.7975432332819,0.0,,
