Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,2.5,5000.0
200.0,0.0,13.289,2.4689,0.1,2.8255733788191,0.0,,,,,
200.0,500.0,26.578,4.9378,0.2,5.63999551039369,0.0,,,,,
800.0,500.0,38.3196,4.9378,0.3,8.43215915635761,0.0,,,,,
800.0,0.0,46.4996,4.9378,0.4,11.1910449224185,0.0,,,,,
1000.0,0.0,56.445,4.754,0.5,13.9057647468726,0.0,,,,,
,,66.422,4.754,0.6,16.5656048708105,0.0,,,,,
,,76.3754,4.5656,0.7,19.1600681204283,0.0,,,,,
,,88.2184,4.5656,0.8,21.6789153345772,0.0,,,,,
,,96.3573,4.5656,0.9,24.1122057740548,0.0,,,,,
,,106.3193,4.3732,1.0,26.450336353161305,0.0,,,,,
,,116.3053,4.3732,1.1,28.684079538691005,0.0,,,,,
,,126.2763,4.1776,1.2,30.804619766790996,0.0,,,,,
,,138.1514,4.1776,1.3,32.8035882339635,0.0,,,,,
,,146.2673,4.1776,1.4,34.6730959249105,0.0,,,,,
,,156.2477,3.9796,1.5,36.4057647468726,0.0,,,,,
,,166.2437,3.9796,1.6,37.994756647590705,0.0,,,,,
,,176.2339,3.78,1.7,39.4338006019739,0.0,,,,,
,,186.2349,3.78,1.8,40.7172173609709,0.0,,,,,
,,198.68,3.5306,1.9,41.8399418649713,0.0,,,,,
,,198.68,11.878,2.0,42.7975432332819,0.0,,,,,
,,198.68,21.878,2.1,43.5862422507884,0.0,,,,,
,,198.68,31.878,2.2,44.202926282791,0.0,,,,,
,,198.68,41.878,2.3,44.6451615591515,0.0,,,,,
,,198.68,51.878,2.4,44.9112027792722,0.0,,,,,
,,198.68,61.878,2.5,45.0,0.0,,,,,
,,198.68,71.878,2.6,44.9112027792722,0.0,,,,,
