Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Settings Name,Settings Val
0.0,500.0,0.0,500.0,0.0,0.0,0.0,Model Resolution (A),10.0
1000.0,500.0,-2.775777196,513.125022106,0.1,2.8255733788191,0.0,Evaporation Rate (A/sec),1.0
800.0,0.0,-4.3582844445,523.8726783076,0.2,5.63999551039369,0.0,Evaporation Time (sec),100.0
2500.0,0.0,-3.9604368068,538.6928498832,0.3,8.43215915635761,0.0,Grid space (A),2.5
,,1.2495695179,557.2571131662,0.4,11.1910449224185,0.0,Raycast Length (A),5000.0
,,8.2709072096,567.0003738351,0.5,13.9057647468726,0.0,Model Limit (Pts),10000.0
,,15.2775628127,576.8988591262,0.6,16.5656048708105,0.0,Average out divets,2.0
,,18.8792728982,576.8988591307,0.7,19.1600681204283,0.0,Average out peaks,2.0
,,30.187252891,576.8988591307,0.8,21.6789153345772,0.0,Preserve corners,0.0
,,40.187252891,576.8988591307,0.9,24.1122057740548,0.0,Enforce Grid Space,2.0
,,50.187252891,576.8988591307,1.0,26.450336353161305,0.0,Enforce Model Limit,2.0
,,60.187252891,576.8988591307,1.1,28.684079538691005,0.0,GPU 0 Intersection,1e-16
,,70.187252891,576.8988591307,1.2,30.804619766790996,0.0,GPU 0 Grid,1e-16
,,80.187252891,576.8988591307,1.3,32.8035882339635,0.0,GPU 0 Model,1e-16
,,90.187252891,576.8988591307,1.4,34.6730959249105,0.0,GPU 0 tArea,1e-10
,,100.187252891,576.8988591307,1.5,36.4057647468726,0.0,GPU 0 Merge,1e-16
,,110.187252891,576.8988591307,1.6,37.99475664759071,0.0,GPU D Intersection,10.0
,,120.187252891,576.8988591307,1.7,39.4338006019739,0.0,GPU D Grid,10.0
,,130.187252891,576.8988591307,1.8,40.7172173609709,0.0,GPU D Model,10.0
,,140.187252891,576.8988591307,1.9,41.8399418649713,0.0,GPU D Merge,10.0
,,150.187252891,576.8988591307,2.0,42.7975432332819,0.0,Directional Dependence,0.0
,,160.187252891,576.8988591307,2.1,43.5862422507884,0.0,Growth Type,1.0
,,170.187252891,576.8988591307,2.2,44.202926282791,0.0,,
,,180.187252891,576.8988591307,2.3,44.6451615591515,0.0,,
,,190.187252891,576.8988591307,2.4,44.9112027792722,0.0,,
,,200.187252891,576.8988591307,2.5,45.0,0.0,,
,,210.187252891,576.8988591307,2.6,44.9112027792722,0.0,,
,,220.187252891,576.8988591307,2.7,44.6451615591515,0.0,,
,,230.187252891,576.8988591307,2.8,44.202926282791,0.0,,
,,240.187252891,576.8988591307,2.9,43.5862422507884,0.0,,
,,250.187252891,576.8988591307,3.0,42.7975432332819,0.0,,
,,260.187252891,576.8988591307,3.1,41.8399418649713,0.0,,
,,270.187252891,576.8988591307,3.2,40.7172173609709,0.0,,
,,280.187252891,576.8988591307,3.3,39.4338006019738,0.0,,
,,290.187252891,576.8988591307,3.4,37.99475664759071,0.0,,
,,300.187252891,576.8988591307,3.5,36.4057647468726,0.0,,
,,310.187252891,576.8988591307,3.6,34.6730959249105,0.0,,
,,320.187252891,576.8988591307,3.7,32.8035882339635,0.0,,
,,330.187252891,576.8988591307,3.8,30.804619766790996,0.0,,
,,340.187252891,576.8988591307,3.9,28.684079538691005,0.0,,
,,350.187252891,576.8988591307,4.0,26.450336353161305,0.0,,
,,360.187252891,576.8988591307,4.1,24.1122057740548,0.0,,
,,370.187252891,576.8988591307,4.2,21.6789153345772,0.0,,
,,380.187252891,576.8988591307,4.3,19.1600681204283,0.0,,
,,390.187252891,576.8988591307,4.4,16.5656048708105,0.0,,
,,400.187252891,576.8988591307,4.5,13.9057647468726,0.0,,
,,410.187252891,576.8988591307,4.6,11.1910449224184,0.0,,
,,420.187252891,576.8988591307,4.7,8.4321591563576,0.0,,
,,430.187252891,576.8988591307,4.8,5.63999551039368,0.0,,
,,440.187252891,576.8988591307,4.9,2.82557337881909,0.0,,
,,450.187252891,576.8988591307,5.0,0.0,0.0,,
,,460.187252891,576.8988591307,5.1,-2.82557337881914,0.0,,
,,470.187252891,576.8988591307,5.2,-5.6399955103937,0.0,,
,,480.187252891,576.8988591307,5.3,-8.43215915635762,0.0,,
,,490.187252891,576.8988591307,5.4,-11.1910449224185,0.0,,
,,500.187252891,576.8988591307,5.5,-13.9057647468726,0.0,,
,,510.187252891,576.8988591307,5.6,-16.5656048708105,0.0,,
,,520.187252891,576.8988591307,5.7,-19.1600681204283,0.0,,
,,530.187252891,576.8988591307,5.8,-21.6789153345772,0.0,,
,,540.187252891,576.8988591307,5.9,-24.1122057740549,0.0,,
,,550.187252891,576.8988591307,6.0,-26.450336353161305,0.0,,
,,560.187252891,576.8988591307,6.1,-28.6840795386911,0.0,,
,,570.187252891,576.8988591307,6.2,-30.804619766790996,0.0,,
,,580.187252891,576.8988591307,6.3,-32.8035882339635,0.0,,
,,590.187252891,576.8988591307,6.4,-34.6730959249105,0.0,,
,,600.187252891,576.8988591307,6.5,-36.4057647468726,0.0,,
,,610.187252891,576.8988591307,6.6,-37.99475664759071,0.0,,
,,620.187252891,576.8988591307,6.7,-39.4338006019739,0.0,,
,,630.187252891,576.8988591307,6.8,-40.7172173609709,0.0,,
,,640.187252891,576.8988591307,6.9,-41.8399418649713,0.0,,
,,650.187252891,576.8988591307,7.0,-42.7975432332819,0.0,,
,,660.187252891,576.8988591307,7.1,-43.5862422507884,0.0,,
,,670.187252891,576.8988591307,7.2,-44.202926282791,0.0,,
,,680.187252891,576.8988591307,7.3,-44.6451615591515,0.0,,
,,690.187252891,576.8988591307,7.4,-44.9112027792722,0.0,,
,,700.187252891,576.8988591307,7.5,-45.0,0.0,,
,,710.187252891,576.8988591307,7.6,-44.9112027792722,0.0,,
,,720.187252891,576.8988591307,7.7,-44.6451615591515,0.0,,
,,730.187252891,576.8988591307,7.8,-44.202926282791,0.0,,
,,740.187252891,576.8988591307,7.9,-43.5862422507884,0.0,,
,,750.187252891,576.8988591307,8.0,-42.7975432332819,0.0,,
,,760.187252891,576.8988591307,8.1,-41.8399418649713,0.0,,
,,770.187252891,576.8988591307,8.2,-40.7172173609709,0.0,,
,,780.187252891,576.8988591307,8.3,-39.4338006019738,0.0,,
,,790.187252891,576.8988591307,8.4,-37.99475664759071,0.0,,
,,800.187252891,576.8988591307,8.5,-36.4057647468726,0.0,,
,,810.187252891,576.8988591307,8.6,-34.6730959249105,0.0,,
,,820.187252891,576.8988591307,8.7,-32.8035882339635,0.0,,
,,830.187252891,576.8988591307,8.8,-30.804619766790996,0.0,,
,,840.187252891,576.8988591307,8.9,-28.684079538691005,0.0,,
,,850.187252891,576.8988591307,9.0,-26.450336353161305,0.0,,
,,860.187252891,576.8988591307,9.1,-24.1122057740549,0.0,,
,,870.187252891,576.8988591307,9.2,-21.6789153345771,0.0,,
,,880.187252891,576.8988591307,9.3,-19.1600681204282,0.0,,
,,890.187252891,576.8988591307,9.4,-16.5656048708105,0.0,,
,,900.187252891,576.8988591307,9.5,-13.9057647468726,0.0,,
,,910.187252891,576.8988591307,9.6,-11.1910449224184,0.0,,
,,920.187252891,576.8988591307,9.7,-8.43215915635755,0.0,,
,,930.187252891,576.8988591307,9.8,-5.63999551039367,0.0,,
,,940.187252891,576.8988591307,9.9,-2.82557337881907,0.0,,
,,950.187252891,576.8988591307,10.0,0.0,0.0,,
,,960.187252891,576.8988591307,,,,,
,,970.187252891,576.8988591307,,,,,
,,980.187252891,576.8988591307,,,,,
,,990.2183947613,576.8988591307,,,,,
,,995.4851136183,576.8965233385,,,,,
,,1002.3700913357,561.1672821552,,,,,
,,1005.9814076605,549.9407035347,,,,,
,,1008.3813415229,533.1142374475,,,,,
,,1007.0692444483,521.551929972,,,,,
,,1005.7448172009,510.118704965,,,,,
,,999.2195095879,493.328230989,,,,,
,,995.3984943128,483.7754503102,,,,,
,,991.6341815397,474.3647043058,,,,,
,,987.8647317725,464.9410798893,,,,,
,,984.0620920456,455.4501524062,,,,,
,,980.3192201042,446.0773007699,,,,,
,,976.5379159827,436.6240044867,,,,,
,,972.7454879752,427.1429703937,,,,,
,,969.0271065857,417.8469809903,,,,,
,,965.2089234625,408.3015591124,,,,,
,,961.3639278322,398.6890700358,,,,,
,,957.6710623283,389.4569062757,,,,,
,,953.8949814798,380.016668229,,,,,
,,950.1251097308,370.5920247808,,,,,
,,946.3556748386,361.16843755,,,,,
,,942.5806101335,351.7307398596,,,,,
,,938.8046245595,342.2907759256,,,,,
,,935.0361380423,332.869595562,,,,,
,,931.2545062984,323.415516203,,,,,
,,927.4544194931,313.9355702431,,,,,
,,923.6807506445,304.4811270666,,,,,
,,919.9212104042,295.0822764677,,,,,
,,916.1261649404,285.5952906647,,,,,
,,912.3663027521,276.1950073355,,,,,
,,908.5680369476,266.6993428288,,,,,
,,904.8158309678,257.3194557297,,,,,
,,901.0369242778,247.8715611489,,,,,
,,897.3281176274,238.5995445248,,,,,
,,893.5075307296,229.0661557242,,,,,
,,889.7213461391,219.5826158033,,,,,
,,885.9542763113,210.1649412365,,,,,
,,882.1696701753,200.703425894,,,,,
,,878.4159318879,191.3190801764,,,,,
,,874.6217460804,181.8603953571,,,,,
,,870.8922070769,172.5097682234,,,,,
,,867.1113062575,163.0574801728,,,,,
,,863.3149657041,153.5666647149,,,,,
,,859.5244260993,144.0903157042,,,,,
,,855.7791426299,134.7271070309,,,,,
,,851.9949508139,125.2666274889,,,,,
,,848.1767056458,115.7367116197,,,,,
,,844.4645072881,106.4405186753,,,,,
,,840.6946164549,97.0157556673,,,,,
,,836.9149603015,87.5666512105,,,,,
,,833.1426906126,78.1359410612,,,,,
,,829.3913231534,68.7575583375,,,,,
,,825.561983598,59.1842094481,,,,,
,,821.8103310206,49.8050780076,,,,,
,,818.0048401412,40.2913508075,,,,,
,,814.2297930511,30.8537330833,,,,,
,,810.4100740321,21.3044355346,,,,,
,,810.2764430391,20.970358052,,,,,
,,820.6542554845,22.259876708,,,,,
,,830.6521951285,23.4256572376,,,,,
,,841.2578626074,24.4473593219,,,,,
,,852.0659153653,25.3525557859,,,,,
,,862.5812239448,25.908047144,,,,,
,,871.1440618018,26.6305887258,,,,,
,,883.4789024385,27.5723570001,,,,,
,,893.9322519488,28.3155459705,,,,,
,,904.3600307688,29.0777125984,,,,,
,,914.7195177165,29.8434722008,,,,,
,,924.3595367883,30.6083253696,,,,,
,,935.4210127347,31.4880808904,,,,,
,,945.723796882,32.3600888662,,,,,
,,956.0385740243,33.1526292904,,,,,
,,966.222965809,33.9387262393,,,,,
,,975.7252856499,34.7342987856,,,,,
,,986.6524518248,35.6308238074,,,,,
,,996.7849958072,36.5279477218,,,,,
,,1006.9422989885,37.1310849255,,,,,
,,1017.0009559502,38.4285484312,,,,,
,,1026.2867700546,39.3385827194,,,,,
,,1037.2098753845,40.5381640583,,,,,
,,1047.0571592197,41.4336133995,,,,,
,,1055.0338106869,41.9325349026,,,,,
,,1064.843046999,42.9245924681,,,,,
,,1074.8449728317,43.5220971411,,,,,
,,1084.6465935518,44.4069863825,,,,,
,,1092.3924985769,44.9953681507,,,,,
,,1104.3623615394,45.6844176628,,,,,
,,1114.0402978955,46.6553819746,,,,,
,,1123.9210050838,47.2366487541,,,,,
,,1133.5510477653,48.0914933777,,,,,
,,1142.2923152711,48.6623918713,,,,,
,,1153.0893362695,49.3285788123,,,,,
,,1162.5782281854,50.2609684552,,,,,
,,1172.3237245906,50.816459551,,,,,
,,1181.8201367475,51.4448640047,,,,,
,,1189.6555305458,51.9950986947,,,,,
,,1201.2509604995,52.723444649,,,,,
,,1210.6545285845,53.5198080848,,,,,
,,1220.3385651192,54.1412886643,,,,,
,,1229.6579089959,54.8140741308,,,,,
,,1238.4508480235,55.3355890481,,,,,
,,1248.8419566705,56.0194809381,,,,,
,,1258.1024800412,56.6823582121,,,,,
,,1267.8250098668,57.3592041718,,,,,
,,1276.9704370787,57.9777805999,,,,,
,,1285.7657899499,58.473933373,,,,,
,,1295.997607657,59.2755043443,,,,,
,,1305.1312970868,59.7329800801,,,,,
,,1314.8213541969,60.5317866752,,,,,
,,1323.7333257772,61.0960331969,,,,,
,,1331.5691701358,61.4072368317,,,,,
,,1342.7879350379,62.3134621619,,,,,
,,1351.7793969477,62.736933016,,,,,
,,1361.4223384207,63.4836018141,,,,,
,,1370.4048999897,64.0148236731,,,,,
,,1379.9028737061,64.6054175101,,,,,
,,1388.9031049312,65.3908672675,,,,,
,,1396.9197026337,65.6761248177,,,,,
,,1407.3882287843,66.6147472448,,,,,
,,1416.4677173736,67.0189118617,,,,,
,,1425.6158423857,67.9165649249,,,,,
,,1434.588899215,68.3077411884,,,,,
,,1443.7790942167,69.1852068291,,,,,
,,1452.8031190936,69.7004828072,,,,,
,,1462.0537133887,70.5649255157,,,,,
,,1470.4529835375,71.4207600659,,,,,
,,1479.5737792221,72.2863970469,,,,,
,,1488.5761717422,73.5550449615,,,,,
,,1497.209481692,75.4733174471,,,,,
,,1503.1997559882,76.8988591315,,,,,
,,1507.842549674,76.8988591307,,,,,
,,1520.187252891,76.8988591307,,,,,
,,1530.187252891,76.8988591307,,,,,
,,1540.187252891,76.8988591307,,,,,
,,1550.187252891,76.8988591307,,,,,
,,1560.187252891,76.8988591307,,,,,
,,1570.187252891,76.8988591307,,,,,
,,1580.187252891,76.8988591307,,,,,
,,1590.187252891,76.8988591307,,,,,
,,1600.187252891,76.8988591307,,,,,
,,1610.187252891,76.8988591307,,,,,
,,1620.187252891,76.8988591307,,,,,
,,1630.187252891,76.8988591307,,,,,
,,1640.187252891,76.8988591307,,,,,
,,1650.187252891,76.8988591307,,,,,
,,1660.187252891,76.8988591307,,,,,
,,1670.187252891,76.8988591307,,,,,
,,1680.187252891,76.8988591307,,,,,
,,1690.187252891,76.8988591307,,,,,
,,1700.187252891,76.8988591307,,,,,
,,1710.187252891,76.8988591307,,,,,
,,1720.187252891,76.8988591307,,,,,
,,1730.187252891,76.8988591307,,,,,
,,1740.187252891,76.8988591307,,,,,
,,1750.187252891,76.8988591307,,,,,
,,1760.187252891,76.8988591307,,,,,
,,1770.187252891,76.8988591307,,,,,
,,1780.187252891,76.8988591307,,,,,
,,1790.187252891,76.8988591307,,,,,
,,1800.187252891,76.8988591307,,,,,
,,1810.187252891,76.8988591307,,,,,
,,1820.187252891,76.8988591307,,,,,
,,1830.187252891,76.8988591307,,,,,
,,1840.187252891,76.8988591307,,,,,
,,1850.187252891,76.8988591307,,,,,
,,1860.187252891,76.8988591307,,,,,
,,1870.187252891,76.8988591307,,,,,
,,1880.187252891,76.8988591307,,,,,
,,1890.187252891,76.8988591307,,,,,
,,1900.187252891,76.8988591307,,,,,
,,1910.187252891,76.8988591307,,,,,
,,1920.187252891,76.8988591307,,,,,
,,1930.187252891,76.8988591307,,,,,
,,1940.187252891,76.8988591307,,,,,
,,1950.187252891,76.8988591307,,,,,
,,1960.187252891,76.8988591307,,,,,
,,1970.187252891,76.8988591307,,,,,
,,1980.187252891,76.8988591307,,,,,
,,1990.187252891,76.8988591307,,,,,
,,2000.187252891,76.8988591307,,,,,
,,2010.187252891,76.8988591307,,,,,
,,2020.187252891,76.8988591307,,,,,
,,2030.187252891,76.8988591307,,,,,
,,2040.187252891,76.8988591307,,,,,
,,2050.187252891,76.8988591307,,,,,
,,2060.187252891,76.8988591307,,,,,
,,2070.187252891,76.8988591307,,,,,
,,2080.187252891,76.8988591307,,,,,
,,2090.187252891,76.8988591307,,,,,
,,2100.187252891,76.8988591307,,,,,
,,2110.187252891,76.8988591307,,,,,
,,2120.187252891,76.8988591307,,,,,
,,2130.187252891,76.8988591307,,,,,
,,2140.187252891,76.8988591307,,,,,
,,2150.187252891,76.8988591307,,,,,
,,2160.187252891,76.8988591307,,,,,
,,2170.187252891,76.8988591307,,,,,
,,2180.187252891,76.8988591307,,,,,
,,2190.187252891,76.8988591307,,,,,
,,2200.187252891,76.8988591307,,,,,
,,2210.187252891,76.8988591307,,,,,
,,2220.187252891,76.8988591307,,,,,
,,2230.187252891,76.8988591307,,,,,
,,2240.187252891,76.8988591307,,,,,
