Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,500.0,0.0,500.0,0.0,0.0,0.0,10.0,1.0,500.0,2.5,5000.0
800.0,500.0,-7.0614,512.0487,0.1,2.8255733788191,0.0,,,,,
700.0,0.0,-14.1232,524.098,0.2,5.63999551039369,0.0,,,,,
1300.0,0.0,-19.5676,534.1809,0.3,8.43215915635761,0.0,,,,,
,,-25.7983,547.176,0.4,11.1910449224185,0.0,,,,,
,,-32.6085,563.8149,0.5,13.9057647468726,0.0,,,,,
,,-36.0657,574.1846,0.6,16.5656048708105,0.0,,,,,
,,-39.5895,584.7653,0.7,19.1600681204283,0.0,,,,,
,,-42.8058,597.7332,0.8,21.6789153345772,0.0,,,,,
,,-46.2771,611.7821,0.9,24.1122057740548,0.0,,,,,
,,-48.6205,628.0042,1.0,26.450336353161305,0.0,,,,,
,,-51.1291,645.6484,1.1,28.684079538691005,0.0,,,,,
,,-51.63,664.8809,1.2,30.804619766790996,0.0,,,,,
,,-51.8553,674.9175,1.3,32.8035882339635,0.0,,,,,
,,-52.1041,686.36,1.4,34.6730959249105,0.0,,,,,
,,-50.6974,698.4994,1.5,36.4057647468726,0.0,,,,,
,,-49.5379,708.5313,1.6,37.994756647590705,0.0,,,,,
,,-48.2995,718.6832,1.7,39.4338006019739,0.0,,,,,
,,-46.3955,733.9155,1.8,40.7172173609709,0.0,,,,,
,,-41.8934,748.6354,1.9,41.8399418649713,0.0,,,,,
,,-38.7918,758.7323,2.0,42.7975432332819,0.0,,,,,
,,-35.3545,769.3283,2.1,43.5862422507884,0.0,,,,,
,,-32.0965,778.8668,2.2,44.202926282791,0.0,,,,,
,,-28.4598,789.4365,2.3,44.6451615591515,0.0,,,,,
,,-19.0076,804.0926,2.4,44.9112027792722,0.0,,,,,
,,-12.8196,813.6345,2.5,45.0,0.0,,,,,
,,-5.4754,823.9887,2.6,44.9112027792722,0.0,,,,,
,,0.9663,832.4533,2.7,44.6451615591515,0.0,,,,,
