Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Settings Name,Settings Val
0.0,30000.0,0.0,30000.0,0.0,0.0,0.0,Model Resolution (A),100.0
10000.0,30000.0,48.4992191546,30180.0165471209,1.0,0.125581039058627,0.0,Evaporation Rate (A/sec),5.0
10000.0,15000.0,91.1173902313,30292.6434494859,2.0,0.250666467128609,0.0,Evaporation Time (sec),100.0
7500.0,15000.0,167.1507853185,30424.5166370252,3.0,0.374762629171449,0.0,Grid space (A),2.5
7500.0,0.0,216.7235187396,30476.0351218114,4.0,0.49737977432971,0.0,Raycast Length (A),50000.0
22500.0,0.0,221.3216506944,30499.6977214477,5.0,0.618033988749895,0.0,Model Limit (Pts),1000000.0
22500.0,15000.0,300.0,30499.6977214477,6.0,0.736249105369356,0.0,Average out divets,2.0
20000.0,15000.0,400.0,30499.6977214477,7.0,0.851558583130145,0.0,Average out peaks,2.0
20000.0,30000.0,500.0,30499.6977214477,8.0,0.9635073482034309,0.0,Preserve corners,0.0
30000.0,30000.0,600.0,30499.6977214477,9.0,1.07165358995799,0.0,Enforce Grid Space,2.0
,,700.0,30499.6977214477,10.0,1.17557050458495,0.0,Enforce Model Limit,2.0
,,800.0,30499.6977214477,11.0,1.27484797949738,0.0,GPU 0 Intersection,1e-16
,,900.0,30499.6977214477,12.0,1.36909421185738,0.0,GPU 0 Grid,1e-16
,,1000.0,30499.6977214477,13.0,1.45793725484282,0.0,GPU 0 Model,1e-16
,,1100.0,30499.6977214477,14.0,1.54102648555158,0.0,GPU 0 tArea,1e-10
,,1200.0,30499.6977214477,15.0,1.6180339887499002,0.0,GPU 0 Merge,1e-16
,,1300.0,30499.6977214477,16.0,1.68865585100403,0.0,GPU D Intersection,10.0
,,1400.0,30499.6977214477,17.0,1.75261336008773,0.0,GPU D Grid,10.0
,,1500.0,30499.6977214477,18.0,1.80965410493204,0.0,GPU D Model,10.0
,,1600.0,30499.6977214477,19.0,1.8595529717765003,0.0,GPU D Merge,10.0
,,1700.0,30499.6977214477,20.0,1.90211303259031,0.0,Directional Dependence,0.0
,,1800.0,30499.6977214477,21.0,1.93716632225726,0.0,Growth Type,1.0
,,1900.0,30499.6977214477,22.0,1.96457450145738,0.0,,
,,2000.0,30499.6977214477,23.0,1.9842294026289602,0.0,,
,,2100.0,30499.6977214477,24.0,1.99605345685654,0.0,,
,,2200.0,30499.6977214477,25.0,2.0,0.0,,
,,2300.0,30499.6977214477,26.0,1.99605345685654,0.0,,
,,2400.0,30499.6977214477,27.0,1.9842294026289602,0.0,,
,,2500.0,30499.6977214477,28.0,1.96457450145738,0.0,,
,,2600.0,30499.6977214477,29.0,1.93716632225726,0.0,,
,,2700.0,30499.6977214477,30.0,1.90211303259031,0.0,,
,,2800.0,30499.6977214477,31.0,1.8595529717765003,0.0,,
,,2900.0,30499.6977214477,32.0,1.80965410493204,0.0,,
,,3000.0,30499.6977214477,33.0,1.75261336008773,0.0,,
,,3100.0,30499.6977214477,34.0,1.68865585100403,0.0,,
,,3200.0,30499.6977214477,35.0,1.6180339887499002,0.0,,
,,3300.0,30499.6977214477,36.0,1.54102648555158,0.0,,
,,3400.0,30499.6977214477,37.0,1.45793725484282,0.0,,
,,3500.0,30499.6977214477,38.0,1.36909421185738,0.0,,
,,3600.0000000002,30499.6977214477,39.0,1.27484797949738,0.0,,
,,3700.0000000002,30499.6977214477,40.0,1.17557050458495,0.0,,
,,3800.0000000002,30499.6977214477,41.0,1.07165358995799,0.0,,
,,3900.0000000002,30499.6977214477,42.0,0.9635073482034299,0.0,,
,,4000.0000000002,30499.6977214477,43.0,0.851558583130145,0.0,,
,,4100.0,30499.6977214477,44.0,0.736249105369356,0.0,,
,,4200.0,30499.6977214477,45.0,0.618033988749894,0.0,,
,,4300.0,30499.6977214477,46.0,0.49737977432971,0.0,,
,,4400.0,30499.6977214477,47.0,0.374762629171449,0.0,,
,,4500.0,30499.6977214477,48.0,0.250666467128608,0.0,,
,,4600.0,30499.6977214477,49.0,0.125581039058626,0.0,,
,,4700.0,30499.6977214477,50.0,-6.43249059870655e-16,0.0,,
,,4800.0,30499.6977214477,51.0,-0.125581039058627,0.0,,
,,4900.0,30499.6977214477,52.0,-0.250666467128609,0.0,,
,,5000.0,30499.6977214477,53.0,-0.37476262917145,0.0,,
,,5100.0,30499.6977214477,54.0,-0.49737977432971,0.0,,
,,5200.0,30499.6977214477,55.0,-0.618033988749895,0.0,,
,,5300.0,30499.6977214477,56.0,-0.736249105369357,0.0,,
,,5400.0,30499.6977214477,57.0,-0.851558583130145,0.0,,
,,5500.0,30499.6977214477,58.0,-0.9635073482034309,0.0,,
,,5600.0,30499.6977214477,59.0,-1.07165358995799,0.0,,
,,5700.0,30499.6977214477,60.0,-1.17557050458495,0.0,,
,,5800.0,30499.6977214477,61.0,-1.27484797949738,0.0,,
,,5900.0,30499.6977214477,62.0,-1.36909421185738,0.0,,
,,6000.0,30499.6977214477,63.0,-1.45793725484282,0.0,,
,,6100.0,30499.6977214477,64.0,-1.54102648555158,0.0,,
,,6200.0,30499.6977214477,65.0,-1.61803398874989,0.0,,
,,6300.0,30499.6977214477,66.0,-1.68865585100403,0.0,,
,,6400.0,30499.6977214477,67.0,-1.75261336008773,0.0,,
,,6500.0,30499.6977214477,68.0,-1.80965410493204,0.0,,
,,6600.0,30499.6977214477,69.0,-1.8595529717765003,0.0,,
,,6700.0,30499.6977214477,70.0,-1.90211303259031,0.0,,
,,6800.0,30499.6977214477,71.0,-1.93716632225726,0.0,,
,,6900.0,30499.6977214477,72.0,-1.96457450145738,0.0,,
,,7000.0,30499.6977214477,73.0,-1.9842294026289602,0.0,,
,,7100.0,30499.6977214477,74.0,-1.99605345685654,0.0,,
,,7200.0,30499.6977214477,75.0,-2.0,0.0,,
,,7300.0,30499.6977214477,76.0,-1.99605345685654,0.0,,
,,7400.0,30499.6977214477,77.0,-1.9842294026289602,0.0,,
,,7500.0,30499.6977214477,78.0,-1.96457450145738,0.0,,
,,7600.0,30499.6977214477,79.0,-1.93716632225726,0.0,,
,,7700.0,30499.6977214477,80.0,-1.90211303259031,0.0,,
,,7800.0,30499.6977214477,81.0,-1.8595529717765003,0.0,,
,,7900.0,30499.6977214477,82.0,-1.80965410493204,0.0,,
,,8000.0,30499.6977214477,83.0,-1.75261336008773,0.0,,
,,8100.0,30499.6977214477,84.0,-1.68865585100403,0.0,,
,,8200.0000000002,30499.6977214477,85.0,-1.61803398874989,0.0,,
,,8300.0000000002,30499.6977214477,86.0,-1.54102648555158,0.0,,
,,8400.0000000002,30499.6977214477,87.0,-1.45793725484282,0.0,,
,,8500.0000000002,30499.6977214477,88.0,-1.36909421185738,0.0,,
,,8600.0000000002,30499.6977214477,89.0,-1.27484797949738,0.0,,
,,8700.0000000002,30499.6977214477,90.0,-1.17557050458495,0.0,,
,,8800.0000000002,30499.6977214477,91.0,-1.07165358995799,0.0,,
,,8900.0000000002,30499.6977214477,92.0,-0.9635073482034309,0.0,,
,,9000.0000000002,30499.6977214477,93.0,-0.851558583130144,0.0,,
,,9100.0000000002,30499.6977214477,94.0,-0.736249105369356,0.0,,
,,9200.0000000002,30499.6977214477,95.0,-0.618033988749894,0.0,,
,,9300.0000000002,30499.6977214477,96.0,-0.497379774329709,0.0,,
,,9400.0000000002,30499.6977214477,97.0,-0.374762629171449,0.0,,
,,9500.0000000002,30499.6977214477,98.0,-0.250666467128608,0.0,,
,,9600.0000000002,30499.6977214477,99.0,-0.125581039058627,0.0,,
,,9700.0000000002,30499.6977214477,100.0,1.28649811974131e-15,0.0,,
,,9800.0000000002,30499.6977214477,,,,,
,,9900.0000000002,30499.6977214477,,,,,
,,9994.2123487368,30499.6977214477,,,,,
,,9997.9358129303,30315.4345575318,,,,,
,,9999.7439137049,30214.9505990297,,,,,
,,10000.1500144106,30114.3885686342,,,,,
,,10000.1511349261,30013.5979133559,,,,,
,,10000.1511349275,29911.050141248,,,,,
,,10000.1509213684,29810.965277851,,,,,
,,10000.1511349301,29710.9971996881,,,,,
,,10000.150554759,29610.8469621448,,,,,
,,10000.1511349407,29510.8998610579,,,,,
,,10000.1500346676,29410.68853203,,,,,
,,10000.1511349785,29310.760489084,,,,,
,,10000.1486738365,29210.2622379745,,,,,
,,10000.1511351086,29110.3707501195,,,,,
,,10000.1451223002,29008.2196515371,,,,,
,,10000.1511352651,28908.3954482888,,,,,
,,10000.1454701356,28807.3704172413,,,,,
,,10000.1511351929,28707.5402691102,,,,,
,,10000.1459129813,28607.0517989299,,,,,
,,10000.1511350714,28507.2158877711,,,,,
,,10000.1471767376,28406.4782568068,,,,,
,,10000.1511349297,28306.6220761989,,,,,
,,10000.1507589635,28205.5728062279,,,,,
,,10000.1511349275,28105.6162649731,,,,,
,,10000.1511109207,28005.5397954165,,,,,
,,10000.1511349275,27905.5507543945,,,,,
,,10000.1511349275,27805.5507543945,,,,,
,,10000.1511349275,27705.5507543945,,,,,
,,10000.1511349275,27605.5507543945,,,,,
,,10000.1511349275,27505.5507543945,,,,,
,,10000.1511349275,27405.5507543945,,,,,
,,10000.1511349275,27305.5507543945,,,,,
,,10000.1511349275,27205.5507543945,,,,,
,,10000.1511349275,27105.5507543945,,,,,
,,10000.1511349275,27005.5507543945,,,,,
,,10000.1511349275,26905.5507543945,,,,,
,,10000.1511349275,26805.5507543945,,,,,
,,10000.1511349275,26705.5507543945,,,,,
,,10000.1511349275,26605.5507543945,,,,,
,,10000.1511349275,26505.5507543945,,,,,
,,10000.1511349275,26405.5507543945,,,,,
,,10000.1511349275,26305.5507543945,,,,,
,,10000.1511349275,26205.5507543945,,,,,
,,10000.1511349275,26105.5507543945,,,,,
,,10000.1511349275,26005.5507543945,,,,,
,,10000.1511349275,25905.5507543945,,,,,
,,10000.1511349275,25805.5507543945,,,,,
,,10000.1511349275,25705.5507543945,,,,,
,,10000.1511349275,25605.5507543945,,,,,
,,10000.1511349275,25505.5507543945,,,,,
,,10000.1511349275,25405.5507543945,,,,,
,,10000.1511349275,25305.5507543945,,,,,
,,10000.1511349275,25205.5507543945,,,,,
,,10000.1511349275,25105.5507543945,,,,,
,,10000.1511349275,25005.5507543945,,,,,
,,10000.1511349275,24905.5507543945,,,,,
,,10000.1511349275,24805.5507543945,,,,,
,,10000.1511349275,24705.5507543945,,,,,
,,10000.1511349275,24605.5507543945,,,,,
,,10000.1511349275,24505.5507543945,,,,,
,,10000.1511349275,24405.5507543945,,,,,
,,10000.1511349275,24305.5507543945,,,,,
,,10000.1511349275,24205.5507543945,,,,,
,,10000.1511349275,24105.5507543945,,,,,
,,10000.1511349275,24005.5507543945,,,,,
,,10000.1511349275,23905.5507543945,,,,,
,,10000.1511349275,23805.5507543945,,,,,
,,10000.1511349275,23705.5507543945,,,,,
,,10000.1511349275,23605.5507543945,,,,,
,,10000.1511349275,23505.5507543945,,,,,
,,10000.1511349275,23405.5507543945,,,,,
,,10000.1511349275,23305.5507543945,,,,,
,,10000.1511349275,23205.5507543945,,,,,
,,10000.1511349275,23105.5507543945,,,,,
,,10000.1511349275,23005.5507543945,,,,,
,,10000.1511349275,22905.5507543945,,,,,
,,10000.1511349275,22805.5507543945,,,,,
,,10000.1511349275,22705.5507543945,,,,,
,,10000.1511349275,22605.5507543945,,,,,
,,10000.1511349275,22505.5507543945,,,,,
,,10000.1511349275,22405.5507543945,,,,,
,,10000.1511349275,22305.5507543945,,,,,
,,10000.1511349275,22205.5507543945,,,,,
,,10000.1511349275,22105.5507543945,,,,,
,,10000.1511349275,22005.5507543945,,,,,
,,10000.1511349275,21905.5507543945,,,,,
,,10000.1511349275,21805.5507543945,,,,,
,,10000.1511349275,21705.5507543945,,,,,
,,10000.1511349275,21605.5507543945,,,,,
,,10000.1511349275,21505.5507543945,,,,,
,,10000.1511349275,21405.5507543945,,,,,
,,10000.1511349275,21305.5507543945,,,,,
,,10000.1511349275,21205.5507543945,,,,,
,,10000.1511349275,21105.5507543945,,,,,
,,10000.1511349275,21005.5507543945,,,,,
