Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Settings Name,Settings Val
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Model Resolution (A),10.0
3.5035035035035,2.20113839262276,-4.6573489922,17.6112629513,0.1,2.8255733788191,0.0,Evaporation Rate (A/sec),1.0
7.00700700700701,4.40121020223817,-6.4722564605,30.1304629614,0.2,5.63999551039369,0.0,Evaporation Time (sec),100.0
10.5105105105105,6.59914936266205,-5.7235699288,48.1321103336,0.3,8.43215915635761,0.0,Grid space (A),2.5
14.014014014014,8.79389084110613,-1.3941066704,60.4998836831,0.4,11.1910449224185,0.0,Raycast Length (A),5000.0
17.5175175175175,10.98437115425,4.6397391138,75.4077616178,0.5,13.9057647468726,0.0,Model Limit (Pts),10000.0
21.021021021021,13.1695288835624,15.8551952116,82.4506570391,0.6,16.5656048708105,0.0,Average out divets,2.0
24.5245245245245,15.3483051896216,19.3656022972,84.6529271935,0.7,19.1600681204283,0.0,Average out peaks,2.0
28.028028028028,17.5196443251869,22.8787156859,86.8536887077,0.8,21.6789153345772,0.0,Preserve corners,0.0
31.5315315315315,19.6824941467705,26.3944800735,89.0518348403,0.9,24.1122057740548,0.0,Enforce Grid Space,2.0
35.035035035035,21.8358066244645,29.9128241115,91.2462487071,1.0,26.450336353161305,0.0,Enforce Model Limit,2.0
38.5385385385385,23.9785383497736,33.4336602615,93.4358039277,1.1,28.684079538691005,0.0,GPU 0 Intersection,1e-16
42.042042042042,26.1096510412088,36.9568845522,95.6193652595,1.2,30.804619766790996,0.0,GPU 0 Grid,1e-16
45.5455455455456,28.2281120473972,40.4823763227,97.7957892989,1.3,32.8035882339635,0.0,GPU 0 Model,1e-16
49.0490490490491,30.3328948474627,44.0099980147,99.9639252222,1.4,34.6730959249105,0.0,GPU 0 tArea,1e-10
52.5525525525526,32.4229795484371,47.5395948085,102.1226155256,1.5,36.4057647468726,0.0,GPU 0 Merge,1e-16
56.0560560560561,34.497353379459,51.0709943521,104.2706968304,1.6,37.99475664759071,0.0,GPU D Intersection,10.0
59.5595595595596,36.5550111825219,54.6040063789,106.4070007364,1.7,39.4338006019739,0.0,GPU D Grid,10.0
63.0630630630631,38.5949558995329,58.1384223947,108.5303546966,1.8,40.7172173609709,0.0,GPU D Model,10.0
66.5665665665666,40.6161990554472,61.6740153067,110.6395829716,1.9,41.8399418649713,0.0,GPU D Merge,10.0
70.0700700700701,42.6177612372435,65.2105390611,112.7335076167,2.0,42.7975432332819,0.0,Directional Dependence,0.0
73.5735735735736,44.5986725685076,68.7477283454,114.81094956,2.1,43.5862422507884,0.0,Growth Type,1.0
77.0770770770771,46.5579731793957,72.2852981694,116.8707296835,2.2,44.202926282791,0.0,,
80.5805805805806,48.4947136717488,75.8229436785,118.9116700633,2.3,44.6451615591515,0.0,,
84.0840840840841,50.4079555791325,79.3603397889,120.9325951936,2.4,44.9112027792722,0.0,,
87.5875875875876,52.2967718215802,82.8971410416,122.9323333612,2.5,45.0,0.0,,
91.0910910910911,54.160247154819,86.4329813995,124.909718048,2.6,44.9112027792722,0.0,,
94.5945945945946,55.9974786137595,89.9674742416,126.8635894799,2.7,44.6451615591515,0.0,,
98.0980980980981,57.8075759500371,93.5002122918,128.7927961962,2.8,44.202926282791,0.0,,
101.601601601602,59.5896620633898,97.0307677873,130.6961967659,2.9,43.5862422507884,0.0,,
105.105105105105,61.3428734266662,100.5586927144,132.5726615868,3.0,42.7975432332819,0.0,,
108.608608608609,63.0663605042557,104.0835191814,134.4210747729,3.1,41.8399418649713,0.0,,
112.112112112112,64.7592881637394,107.6047599712,136.240336141,3.2,40.7172173609709,0.0,,
115.615615615616,66.4208360805614,111.1219092294,138.0293632801,3.3,39.4338006019738,0.0,,
119.119119119119,68.0501991355253,114.6344433966,139.7870937372,3.4,37.99475664759071,0.0,,
122.622622622623,69.6465878049222,118.1418223483,141.512487273,3.5,36.4057647468726,0.0,,
126.126126126126,71.2092285431025,121.6434907388,143.2045281877,3.6,34.6730959249105,0.0,,
129.62962962963,72.7373641573049,125.1388796165,144.8622277169,3.7,32.8035882339635,0.0,,
133.133133133133,74.2302541745609,128.6274083464,146.4846265025,3.8,30.804619766790996,0.0,,
136.636636636637,75.6871752004992,132.1084867524,148.0707970664,3.9,28.684079538691005,0.0,,
140.14014014014,77.1074212698725,135.5815176359,149.6198463351,4.0,26.450336353161305,0.0,,
143.643643643644,78.4903041886405,139.0458995571,151.1309181485,4.1,24.1122057740548,0.0,,
147.147147147147,79.8351538674406,142.5010299678,152.6031957416,4.2,21.6789153345772,0.0,,
150.650650650651,81.1413186462866,145.9463087007,154.0359041757,4.3,19.1600681204283,0.0,,
154.154154154154,82.4081656103364,149.3811417375,155.4283126939,4.4,16.5656048708105,0.0,,
157.657657657658,83.6350808965776,152.8049453348,156.7797369211,4.5,13.9057647468726,0.0,,
161.161161161161,84.8214699912802,156.2171504954,158.0895409513,4.6,11.1910449224184,0.0,,
164.664664664665,85.9667580180745,159.6172077382,159.3571392322,4.7,8.4321591563576,0.0,,
168.168168168168,87.0703900165128,163.0045920482,160.5819981571,4.8,5.63999551039368,0.0,,
171.671671671672,88.1318312109807,166.3788082546,161.7636374613,4.9,2.82557337881909,0.0,,
175.175175175175,89.1505672698284,169.7393964994,162.9016312551,5.0,0.0,0.0,,
178.678678678679,90.1261045545945,173.085937854,163.9956086801,5.1,-2.82557337881914,0.0,,
182.182182182182,91.0579703592036,176.4180601015,165.0452541963,5.2,-5.6399955103937,0.0,,
185.685685685686,91.9457131390205,179.7354435468,166.0503074065,5.3,-8.43215915635762,0.0,,
189.189189189189,92.7889027296509,183.0378267497,167.0105624344,5.4,-11.1910449224185,0.0,,
192.692692692693,93.5871305553812,186.325012159,167.9258667644,5.5,-13.9057647468726,0.0,,
196.196196196196,94.3400098271581,189.5968715531,168.7961196074,5.6,-16.5656048708105,0.0,,
199.6996996997,95.0471757300112,192.853351141,169.6212696996,5.7,-19.1600681204283,0.0,,
203.203203203203,95.7082855998271,196.0944763015,170.4013125889,5.8,-21.6789153345772,0.0,,
206.706706706707,96.3230190893913,199.320355754,171.1362873764,5.9,-24.1122057740549,0.0,,
210.21021021021,96.891078323615,202.5311851168,171.8262729521,6.0,-26.450336353161305,0.0,,
213.713713713714,97.4121880438736,205.7272499229,172.4713837791,6.1,-28.6840795386911,0.0,,
217.217217217217,97.8860957413862,208.9089275142,173.071765214,6.2,-30.804619766790996,0.0,,
220.720720720721,98.3125717795704,212.0766883191,173.6275884475,6.3,-32.8035882339635,0.0,,
224.224224224224,98.691409505316,215.23109608,174.1390451851,6.4,-34.6730959249105,0.0,,
227.727727727728,99.0224253491199,218.372806869,174.6063420004,6.5,-36.4057647468726,0.0,,
231.231231231231,99.3054589140368,221.5025674284,175.029694682,6.6,-37.99475664759071,0.0,,
234.734734734735,99.5403730534013,224.6212118994,175.4093224323,6.7,-39.4338006019739,0.0,,
238.238238238238,99.7270539372833,227.7296577124,175.7454421343,6.8,-40.7172173609709,0.0,,
241.741741741742,99.8654111076456,230.8289004607,176.0382628655,6.9,-41.8399418649713,0.0,,
245.245245245245,99.9553775221764,233.9200075247,176.2879806179,7.0,-42.7975432332819,0.0,,
248.748748748749,99.9969095867747,237.0041105581,176.4947734578,7.1,-43.5862422507884,0.0,,
252.252252252252,99.9899871766749,240.0823973853,176.658797065,7.2,-44.202926282791,0.0,,
255.755755755756,99.9346136461981,243.1561029341,176.7801810458,7.3,-44.6451615591515,0.0,,
259.259259259259,99.8308158271268,246.2264992026,176.8590257091,7.4,-44.9112027792722,0.0,,
262.762762762763,99.6786440157034,249.2948850846,176.895399699,7.5,-45.0,0.0,,
266.266266266266,99.4781719482585,252.362575625,176.8893383885,7.6,-44.9112027792722,0.0,,
269.76976976977,99.2294967654814,255.4308907599,176.8408430954,7.7,-44.6451615591515,0.0,,
273.273273273273,98.9327389653494,258.5011444794,176.7498811006,7.8,-44.202926282791,0.0,,
276.776776776777,98.5880423447396,261.5746336766,176.6163866156,7.9,-43.5862422507884,0.0,,
280.28028028028,98.1955739297507,264.6526274237,176.4402624098,8.0,-42.7975432332819,0.0,,
283.783783783784,97.7555238947686,267.7363567931,176.2213823781,8.1,-41.8399418649713,0.0,,
287.287287287287,97.268105470316,270.8270050391,175.9595947168,8.2,-40.7172173609709,0.0,,
290.790790790791,96.733554839729,273.9256986784,175.6547258278,8.3,-39.4338006019738,0.0,,
294.294294294294,96.1521310247126,277.0334992172,175.3065847358,8.4,-37.99475664759071,0.0,,
297.797797797798,95.5241157598287,280.1513961535,174.9149679827,8.5,-36.4057647468726,0.0,,
301.301301301301,94.8498133559795,283.2803006797,174.4796649446,8.6,-34.6730959249105,0.0,,
304.804804804805,94.1295505529503,286.4210405376,174.0004633486,8.7,-32.8035882339635,0.0,,
308.308308308308,93.3636763610846,289.5743560871,173.4771549641,8.8,-30.804619766790996,0.0,,
311.811811811812,92.5525618921678,292.7408974593,172.9095413411,8.9,-28.684079538691005,0.0,,
315.315315315315,91.6966001796013,295.9212226782,172.297439504,9.0,-26.450336353161305,0.0,,
318.818818818819,90.7962059879546,299.115797088,171.6406874476,9.1,-24.1122057740549,0.0,,
322.322322322322,89.8518156119867,302.3249935649,170.9391494753,9.2,-21.6789153345771,0.0,,
325.825825825826,88.8638866652356,305.549093847,170.1927211076,9.3,-19.1600681204282,0.0,,
329.329329329329,87.8328978582769,308.7882907094,169.4013337197,9.4,-16.5656048708105,0.0,,
332.832832832833,86.7593487667601,312.0426908786,168.5649586425,9.5,-13.9057647468726,0.0,,
336.336336336336,85.6437595893346,315.3123186806,167.683610863,9.6,-11.1910449224184,0.0,,
339.83983983984,84.4866708955818,318.597120296,166.7573521638,9.7,-8.43215915635755,0.0,,
343.343343343343,83.2886433640773,321.8969684347,165.7862937684,9.8,-5.63999551039367,0.0,,
346.846846846847,82.0502575107088,325.2116675224,164.7705984238,9.9,-2.82557337881907,0.0,,
350.35035035035,80.7721134073807,328.5409590582,163.7104819998,10.0,0.0,0.0,,
353.853853853854,79.4548303912444,331.8845272166,162.6062145405,,,,,
357.357357357357,78.0990467645917,335.2420045822,161.458120835,,,,,
360.860860860861,76.7054194855598,338.6129778782,160.2665805256,,,,,
364.364364364364,75.2746238497955,341.9969936713,159.0320277919,,,,,
367.867867867868,73.8073531632339,345.3935639219,157.7549506316,,,,,
371.371371371371,72.3043184061509,348.8021714355,156.4358897957,,,,,
374.874874874875,70.7662478886504,352.2222750693,155.0754374043,,,,,
378.378378378378,69.1938868977546,355.6533146627,153.674235302,,,,,
381.881881881882,67.5879973362679,359.0947157381,152.2329731728,,,,,
385.385385385385,65.9493573535896,362.5458938405,150.7523864889,,,,,
388.888888888889,64.2787609686539,366.0062586206,149.2332542706,,,,,
392.392392392392,62.5770176851806,369.4752175534,147.6763967685,,,,,
395.895895895896,60.8449520994217,372.9521793175,146.0826730609,,,,,
399.399399399399,59.0834035005958,376.4365568913,144.452978555,,,,,
402.902902902903,57.293225464202,379.927770254,142.7882425515,,,,,
406.406406406406,55.4752854384117,383.4252488748,141.0894257093,,,,,
409.90990990991,53.6304643237382,386.928433796,139.357517625,,,,,
413.413413413413,51.7596560461878,390.4367795177,137.5935343749,,,,,
416.916916916917,49.8637671240991,393.9497555694,135.7985161718,,,,,
420.42042042042,47.943716228881,397.4668478609,133.9735250315,,,,,
423.923923923924,46.0004337398611,400.9875597391,132.119642596,,,,,
427.427427427427,44.0348612934619,404.5114129299,130.2379679493,,,,,
430.930930930931,42.0479513269214,408.0379482317,128.3296155772,,,,,
434.434434434434,40.0406666167804,411.5667260158,126.3957134349,,,,,
437.937937937938,38.0139798123597,415.0973266379,124.4374010289,,,,,
441.441441441441,35.9688729644536,418.6293506556,122.455827705,,,,,
444.944944944945,33.9063370494675,422.16241894,120.4521509325,,,,,
448.448448448448,31.8273714892308,425.6961727099,118.4275347441,,,,,
451.951951951952,29.7329836667172,429.2302734821,116.3831482066,,,,,
455.455455455456,27.6241884379074,432.7644028535,114.3201640624,,,,,
458.958958958959,25.502007640031,436.2982623857,112.2397573503,,,,,
462.462462462463,23.3674695964252,439.8315733021,110.1431041861,,,,,
465.965965965966,21.2216086182508,443.3640762208,108.0313805676,,,,,
469.46946946947,19.0654645033065,446.8955308331,105.9057612755,,,,,
472.972972972973,16.9000820321849,450.4257155942,103.7674188127,,,,,
476.476476476477,14.7265104620141,453.9544273436,101.6175224377,,,,,
479.97997997998,12.5458030180296,457.4814810108,99.4572372197,,,,,
483.483483483484,10.3590163832239,461.006709291,97.287723132,,,,,
486.986986986987,8.16721018632063,464.5299622581,95.1101342642,,,,,
490.490490490491,5.97144648832095,468.0511071291,92.925618001,,,,,
493.993993993994,3.77278926787171,471.5700279792,90.7353142412,,,,,
497.497497497498,1.57230390570408,475.0866254505,88.5403547287,,,,,
501.001001001001,-0.628943331606759,478.6008165604,86.3418623215,,,,,
504.504504504505,-2.8298858083118,482.1125344721,84.1409503744,,,,,
508.008008008008,-5.02945703633662,485.6217283809,81.9387220866,,,,,
511.511511511512,-7.22659119205871,489.1283633487,79.7362699114,,,,,
515.015015015015,-9.42022363276265,492.6324202809,77.5346749552,,,,,
518.518518518519,-11.609291412523,496.1338957656,75.3350065017,,,,,
522.022022022022,-13.7927337972654,499.6328021991,73.1383214116,,,,,
525.525525525526,-15.969492778755,503.1291677143,70.9456636639,,,,,
529.029029029029,-18.1385135872651,506.6230363061,68.7580638884,,,,,
532.532532532533,-20.2987452026761,510.114467928,66.5765388913,,,,,
536.036036036036,-22.4491408637573,513.6035386129,64.4020912825,,,,,
539.53953953954,-24.588658575385,517.0903406725,62.2357090588,,,,,
543.043043043043,-26.7162616134522,520.5749829012,60.0783652774,,,,,
546.546546546547,-28.8309190272222,524.057590855,57.9310176854,,,,,
550.05005005005,-30.9316061388869,527.538307029,55.7946085304,,,,,
553.553553553554,-33.0173050400837,531.0172912758,53.6700642265,,,,,
557.057057057057,-35.087005085133,534.4947210005,51.5582952395,,,,,
560.560560560561,-37.1397033807568,537.9707915758,49.460195894,,,,,
564.064064064064,-39.1744052720397,541.4457166054,47.3766443239,,,,,
567.567567567568,-41.1901248243993,544.9197283422,45.3085024018,,,,,
571.071071071071,-43.1858853013297,548.3930779415,43.2566158224,,,,,
574.574574574575,-45.1607196376896,551.8660358288,41.221814165,,,,,
578.078078078078,-47.1136709083018,555.3388919892,39.2049110877,,,,,
581.581581581582,-49.0437927916421,558.8119562418,37.206704574,,,,,
585.085085085085,-50.9501500283873,562.2855584402,35.2279772888,,,,,
588.588588588589,-52.8318188746051,565.760048653,33.269496994,,,,,
592.092092092092,-54.6878875493628,569.2357972811,31.3320170688,,,,,
595.595595595596,-56.5174566765393,572.7131950674,29.4162771379,,,,,
599.099099099099,-58.3196397206274,576.1926530373,27.5230037685,,,,,
602.602602602603,-60.0935634163123,579.6746022857,25.6529113289,,,,,
606.106106106106,-61.8383681916216,583.159493669,23.8067028885,,,,,
609.60960960961,-63.5532085844384,586.6477973694,21.9850712681,,,,,
613.113113113113,-65.2372536521791,590.1400022636,20.1887001689,,,,,
616.616616616617,-66.8896873744339,593.6366150872,18.4182654218,,,,,
620.12012012012,-68.5097090483781,597.1381594586,16.6744363272,,,,,
623.623623623624,-70.0965336767598,600.6451745906,14.9578771155,,,,,
627.127127127127,-71.6493923482783,604.1582138845,13.2692484366,,,,,
630.630630630631,-73.1675326101679,607.6778431808,11.6092089538,,,,,
634.134134134134,-74.6502188328052,611.2046386852,9.9784170487,,,,,
637.637637637638,-76.0967325661668,614.7391847468,8.3775324673,,,,,
641.141141141141,-77.5063728879602,618.2820712086,6.8072180783,,,,,
644.644644644645,-78.8784567432632,621.8338904702,5.2681416029,,,,,
648.148148148148,-80.2123192755044,625.3952342571,3.7609773167,,,,,
651.651651651652,-81.5073141486262,628.9666900089,2.2864077029,,,,,
655.155155155155,-82.7628138602731,632.5488370125,0.8451250393,,,,,
658.658658658659,-83.978210045854,636.1422421141,-0.5621671502,,,,,
662.162162162162,-85.1529137733312,639.7474552031,-1.9347528079,,,,,
665.665665665666,-86.2863558285931,643.3650043571,-3.2719022076,,,,,
669.169169169169,-87.3779869912729,646.9953907494,-4.5728710985,,,,,
672.672672672673,-88.4272783008778,650.6390833433,-5.8369001114,,,,,
676.176176176176,-89.4337213131028,654.2965133116,-7.0632144611,,,,,
679.67967967968,-90.3968283462016,657.968068425,-8.2510240265,,,,,
683.183183183183,-91.3161327172983,661.6540873088,-9.3995238292,,,,,
686.686686686687,-92.1911889685225,665.3548537288,-10.5078949324,,,,,
690.19019019019,-93.0215730828604,669.070590936,-11.5753058076,,,,,
693.693693693694,-93.8068826896166,672.8014560931,-12.6009141658,,,,,
697.197197197197,-94.5467372593863,676.5475351141,-13.5838693195,,,,,
700.700700700701,-95.2407782884452,680.3088377348,-14.5233150357,,,,,
704.204204204204,-95.888669472465,684.0852929994,-15.4183929089,,,,,
707.707707707708,-96.4900968694739,687.8767454339,-16.2682462127,,,,,
711.211211211211,-97.0447690519797,691.6829517493,-17.0720242386,,,,,
714.714714714715,-97.5524172481839,695.5035782996,-17.8288870723,,,,,
718.218218218218,-98.0127954722177,699.3381995077,-18.5380107445,,,,,
721.721721721722,-98.4256806433369,703.1862970134,-19.1985927204,,,,,
725.225225225225,-98.7908726940178,707.0472600319,-19.8098576403,,,,,
728.728728728729,-99.108194666902,710.9203865862,-20.3710632167,,,,,
732.232232232232,-99.3774928005424,714.8048859269,-20.8815062361,,,,,
735.735735735736,-99.5986366039104,718.6998820673,-21.3405285103,,,,,
739.239239239239,-99.7715189196262,722.6044184315,-21.7475227261,,,,,
742.742742742743,-99.8960559758828,726.5174635019,-22.1019380023,,,,,
746.246246246246,-99.9721874270389,730.437917681,-22.4032852127,,,,,
749.74974974975,-99.9998763828597,734.3646209786,-22.6511417012,,,,,
753.253253253253,-99.9791094263926,738.2963616667,-22.8451556241,,,,,
756.756756756757,-99.9098966204681,742.2318857559,-22.9850494675,,,,,
760.26026026026,-99.7922715028243,746.1699069528,-23.070623037,,,,,
763.763763763764,-99.6262910698554,750.1091173099,-23.1017554736,,,,,
767.267267267267,-99.4120357489939,754.0481979666,-23.0784066338,,,,,
770.770770770771,-99.1496093597385,757.9858305322,-23.0006174803,,,,,
774.274274274274,-98.8391390633473,761.9207078378,-22.8685095944,,,,,
777.777777777778,-98.4807753012208,765.8515450113,-22.6822839965,,,,,
781.281281281281,-98.074691722004,769.777090063,-22.4422189001,,,,,
784.784784784785,-97.6210850974429,773.6961337937,-22.1486668883,,,,,
788.288288288288,-97.1201752270376,777.6075193886,-21.8020512702,,,,,
791.791791791792,-96.5722048315354,781.5101509913,-21.4028617885,,,,,
795.295295295295,-95.9774394353189,785.4030014083,-20.9516498372,,,,,
798.798798798799,-95.3361672377429,789.2851190178,-20.4490231827,,,,,
802.302302302302,-94.6486989734852,793.1556333637,-19.8956403062,,,,,
805.805805805806,-93.9153677619768,797.0137598464,-19.2922046092,,,,,
809.309309309309,-93.1365289459854,800.8588032484,-18.6394583602,,,,,
812.812812812813,-92.3125599194313,804.6901600397,-17.9381767468,,,,,
816.316316316316,-91.4438599445166,808.5073198203,-17.1891618785,,,,,
819.81981981982,-90.5308499582597,812.309865388,-16.3932370719,,,,,
823.323323323323,-89.5739723685255,816.097472123,-15.551241301,,,,,
